"q" "I"
0.27041003 0.548832665950309
0.2730694 0.564528297225625
0.27572863 0.570378116989601
0.27838771 0.579754219392756
0.28104666 0.583898342341731
0.28370546 0.582694675565662
0.28636411 0.575606046730963
0.28902262 0.56213403407363
0.29168098 0.554538385032543
0.2943392 0.531827441998214
0.29699726 0.520712650095998
0.29965516 0.498696223213706
0.30231292 0.48338637026857
0.30497052 0.455587107023911
0.30762796 0.441421864142308
0.31028525 0.418859474554527
0.31294238 0.406319759528465
0.31559934 0.385889956388515
0.31825615 0.369658745794606
0.32091279 0.353719229681399
0.32356927 0.344975458266608
0.32622558 0.337993081612799
0.32888173 0.32199301173682
0.33153771 0.319287323749724
0.33419351 0.297217866741745
0.33684915 0.288969292675065
0.33950462 0.286477644485888
0.34215991 0.273858854498615
0.34481502 0.271715097752865
0.34746996 0.266248599621246
0.35012473 0.256316765300161
0.35277931 0.246567494336124
0.35543371 0.242125573547792
0.35808793 0.233017136049746
0.36074197 0.220324856250221
0.36339583 0.222130298835469
0.3660495 0.219704424891941
0.36870298 0.215142068331376
0.37135627 0.216692148693586
0.37400937 0.208727803049375
0.37666229 0.218163787461992
0.379315 0.205058091481765
0.38196753 0.212608924980515
0.38461986 0.207848017334093
0.387272 0.204949459374858
0.38992393 0.209299964134004
0.39257567 0.210780796326298
0.39522721 0.202756184813592
0.39787855 0.202733633095286
0.40052968 0.197363234073081
0.40318061 0.201185164941023
0.40583133 0.19657545936849
0.40848185 0.20764315176711
0.41113216 0.197336939729183
0.41378226 0.207726353212948
0.41643214 0.197750970084341
0.41908182 0.198590181899623
0.42173128 0.204088751453616
0.42438053 0.201359513714723
0.42702956 0.202955580389326
0.42967837 0.2003564708633
0.43232696 0.198311864906292
0.43497534 0.204282849774667
0.43762349 0.208944568246443
0.44027142 0.207678620341945
0.44291913 0.211211620514238
0.44556661 0.205263935889287
0.44821386 0.20476382514553
0.45086088 0.211701654958326
0.45350768 0.215832266069268
0.45615424 0.215685382409523
0.45880058 0.215210126538282
0.46144668 0.21556429407693
0.46409254 0.214449337123852
0.46673817 0.219242373771504
0.46938356 0.218739172962514
0.47202871 0.220690865840099
0.47467363 0.215446372581377
0.4773183 0.227607199546936
0.47996273 0.229133806929155
0.48260691 0.218967684246053
0.48525085 0.228126771943768
0.48789455 0.228161300063967
0.49053799 0.234952706847861
0.49318119 0.231051624246901
0.49582414 0.227788016345376
0.49846683 0.232331870900453
0.50110927 0.235726010066832
0.50375146 0.231639082114074
0.50639339 0.231344662234225
0.50903507 0.236144608344507
0.51167648 0.238502059415045
0.51431764 0.237522739051985
0.51695854 0.236957948060829
0.51959917 0.23232536448981
0.52223954 0.238225469787371
0.52487965 0.241040922265527
0.52751949 0.239626612843999
0.53015906 0.238338612237939
0.53279837 0.245242144245958
0.5354374 0.24157487018322
0.53807616 0.24575688001895
0.54071466 0.243423919154845
0.54335287 0.246071337340427
0.54599082 0.248453278617398
0.54862848 0.244455252417147
0.55126587 0.250622216515845
0.55390298 0.256071940007634
0.55653981 0.256807836163644
0.55917636 0.245223642240471
0.56181262 0.249211476983342
0.5644486 0.252400501074366
0.5670843 0.244115863451347
0.56971971 0.24703173345306
0.57235483 0.24250144831487
0.57498966 0.244430627860052
0.5776242 0.241083626583171
0.58025845 0.233494541531583
0.58289241 0.233980545455804
0.58552607 0.229084557814964
0.58815944 0.227952269626455
0.59079251 0.222158339737976
0.59342528 0.222424757101222
0.59605775 0.220486403325103
0.59868992 0.22359157340993
0.60132179 0.222846675759549
0.60395336 0.215937021199922
0.60658462 0.220868323871983
0.60921558 0.218375312983232
0.61184623 0.211793570004259
0.61447657 0.212280149717032
0.6171066 0.210149117898292
0.61973632 0.21566824310361
0.62236573 0.214808341286341
0.62499483 0.21497357340796
0.62762361 0.212696310489834
0.63025207 0.216529219726177
0.63288022 0.205589486736876
0.63550805 0.219628459188913
0.63813556 0.210613529751795
0.64076275 0.213511204835249
0.64338961 0.206921439202444
0.64601616 0.204879098013742
0.64864237 0.2109134963947
0.65126827 0.210915646005296
0.65389383 0.209210793680172
0.65651907 0.213150358149391
0.65914397 0.204896198933751
0.66176855 0.209053929685517
0.66439279 0.207322859788301
0.6670167 0.204287609626701
0.66964028 0.207215033785368
0.67226352 0.203869433593965
0.67488642 0.209994403514233
0.67750898 0.202480190167423
0.68013121 0.206027105229735
0.68275309 0.207843027166638
0.68537463 0.212162420150996
0.68799583 0.202897694446847
0.69061668 0.207882775769713
0.69323719 0.205908646331532
0.69585735 0.204347242127789
0.69847716 0.205609082740613
0.70109662 0.20801213626451
0.70371573 0.208552302698571
0.70633449 0.209429401400608
0.7089529 0.208678362005667
0.71157095 0.207505826197337
0.71418864 0.214607314309709
0.71680598 0.209778981823788
0.71942296 0.212599059803315
0.72203958 0.215141761244148
0.72465584 0.211581603045128
0.72727173 0.207013488599038
0.72988727 0.217709701416532
0.73250244 0.211845160658563
0.73511724 0.211147439283585
0.73773168 0.211178551058372
0.74034575 0.217395647147041
0.74295945 0.215523700983979
0.74557278 0.21057773489678
0.74818573 0.210422847776155
0.75079832 0.220703974626145
0.75341053 0.212124398913579
0.75602236 0.212365040142624
0.75863382 0.213053664058473
0.7612449 0.216638331656878
0.7638556 0.219369987707692
0.76646592 0.215300909200061
0.76907586 0.222631177297296
0.77168542 0.217555754750542
0.77429459 0.22303693549025
0.77690338 0.215557998788757
0.77951178 0.222318178640152
0.78211979 0.229351493387907
0.78472742 0.221539558973546
0.78733465 0.228560206373145
0.7899415 0.223566123555909
0.79254795 0.230464588624666
0.795154 0.233191523209349
0.79775967 0.220868650152162
0.80036493 0.228599264029957
0.8029698 0.231282841736637
0.80557428 0.23420594748116
0.80817835 0.229968239699451
0.81078202 0.232042268451493
0.81338529 0.24863411460879
0.81598816 0.251135935062394
0.81859062 0.247879370974161
0.82119267 0.254086352377258
0.82379432 0.248189836161674
0.82639557 0.252467829949106
0.8289964 0.25917206234615
0.83159682 0.257972925106694
