# input_file=disc20, Nx=20, Ny=20
0 , 5.57352e+09
1 , 2.99004e+08
2 , 4.88273e+07
3 , 6.84018e+06
4 , 3.62617e+06
5 , 1.79578e+06
6 , 328100
7 , 739602
8 , 123308
9 , 235242
10, 190460
